Hundee |Root|,Jirma |Stem|,Ani |I|,Nuti |We|,Ati |You|,Isin |You|,Inni |He|,Isheen |She|,Isaan |They|
godhe,godh_,Ani godhe,Nuti godhne,Ati godhte,Isin godhtan,Inni godhe,Isheen godhte,Isaan godhan
godhu,godh_,Ani godhe,Nuti godhne,Ati godhte,Isin godhtan,Inni godhe,Isheen godhte,Isaan godhan
godhuu,godh_,Ani godhe,Nuti godhne,Ati godhte,Isin godhtan,Inni godhe,Isheen godhte,Isaan godhan
gubuu,gub_,Ani gube,Nuti gubne,Ati gubte,Isin gubtan,Inni gube,Isheen gubte,Isaan guban
guddatan,guddat_,Ani guddate,Nuti guddatne,Ati guddatte,Isin guddattan,Inni guddate,Isheen guddatte,Isaan guddatan
guddate,guddat_,Ani guddate,Nuti guddatne,Ati guddatte,Isin guddattan,Inni guddate,Isheen guddatte,Isaan guddatan
guddatte,guddat_,Ani guddate,Nuti guddatne,Ati guddatte,Isin guddattan,Inni guddate,Isheen guddatte,Isaan guddatan
gurmaa'u,gurmaa'_,Ani gurmaa'e,Nuti gurmaa'ne,Ati gurmaa'te,Isin gurmaa'tan,Inni gurmaa'e,Isheen gurmaa'te,Isaan gurmaa'an
guutuu,guu_,Ani guue,Nuti guune,Ati guute,Isin guutan,Inni guue,Isheen guute,Isaan guuan
haanuu,haan_,Ani haane,Nuti haanne,Ati haante,Isin haantan,Inni haane,Isheen haante,Isaan haanan
hacuucame,hacuucam_,Ani hacuucame,Nuti hacuucamne,Ati hacuucamte,Isin hacuucamtan,Inni hacuucame,Isheen hacuucamte,Isaan hacuucaman
hambisu,hambis_,Ani hambise,Nuti hambisne,Ati hambiste,Isin hambistan,Inni hambise,Isheen hambiste,Isaan hambisan
haxaatan,haxaat_,Ani haxaate,Nuti haxaatne,Ati haxaatte,Isin haxaattan,Inni haxaate,Isheen haxaatte,Isaan haxaatan
hayyamu,hayyam_,Ani hayyame,Nuti hayyamne,Ati hayyamte,Isin hayyamtan,Inni hayyame,Isheen hayyamte,Isaan hayyaman
hiikkamne,hiikkam_,Ani hiikkame,Nuti hiikkamne,Ati hiikkamte,Isin hiikkamtan,Inni hiikkame,Isheen hiikkamte,Isaan hiikkaman
hiikuu,hiik_,Ani hiike,Nuti hiikne,Ati hiikte,Isin hiiktan,Inni hiike,Isheen hiikte,Isaan hiikan
himan,him_,Ani hime,Nuti himne,Ati himte,Isin himtan,Inni hime,Isheen himte,Isaan himan
himatan,himat_,Ani himate,Nuti himatne,Ati himatte,Isin himattan,Inni himate,Isheen himatte,Isaan himatan
hirmaachisan,hirmaachis_,Ani hirmaachise,Nuti hirmaachisne,Ati hirmaachiste,Isin hirmaachistan,Inni hirmaachise,Isheen hirmaachiste,Isaan hirmaachisan
hirmaachisuu,hirmaachis_,Ani hirmaachise,Nuti hirmaachisne,Ati hirmaachiste,Isin hirmaachistan,Inni hirmaachise,Isheen hirmaachiste,Isaan hirmaachisan
hojjachuu,hojjat_,Ani hojjate,Nuti hojjatne,Ati hojjatte,Isin hojjattan,Inni hojjate,Isheen hojjatte,Isaan hojjatan
hojjatu,hojjat_,Ani hojjate,Nuti hojjatne,Ati hojjatte,Isin hojjattan,Inni hojjate,Isheen hojjatte,Isaan hojjatan
hojjetan,hojjet_,Ani hojjete,Nuti hojjetne,Ati hojjette,Isin hojjettan,Inni hojjete,Isheen hojjette,Isaan hojjetan
hordofu,hordof_,Ani hordofe,Nuti hordofne,Ati hordofte,Isin hordoftan,Inni hordofe,Isheen hordofte,Isaan hordofan
hordofuu,hordof_,Ani hordofe,Nuti hordofne,Ati hordofte,Isin hordoftan,Inni hordofe,Isheen hordofte,Isaan hordofan
hordofuun,hordof_,Ani hordofe,Nuti hordofne,Ati hordofte,Isin hordoftan,Inni hordofe,Isheen hordofte,Isaan hordofan
hubachuu,hubat_,Ani hubate,Nuti hubatne,Ati hubatte,Isin hubattan,Inni hubate,Isheen hubatte,Isaan hubatan
hubachuun,hubat_,Ani hubate,Nuti hubatne,Ati hubatte,Isin hubattan,Inni hubate,Isheen hubatte,Isaan hubatan
hubannu,hubat_,Ani hubate,Nuti hubatne,Ati hubatte,Isin hubattan,Inni hubate,Isheen hubatte,Isaan hubatan
hubatan,hubat_,Ani hubate,Nuti hubatne,Ati hubatte,Isin hubattan,Inni hubate,Isheen hubatte,Isaan hubatan
hundaaye,hundaay_,Ani hundaaye,Nuti hundaayne,Ati hundaayte,Isin hundaaytan,Inni hundaaye,Isheen hundaayte,Isaan hundaayan
ibsamne,ibsam_,Ani ibsame,Nuti ibsamne,Ati ibsamte,Isin ibsamtan,Inni ibsame,Isheen ibsamte,Isaan ibsaman
ibsuu,ibs_,Ani ibse,Nuti ibsne,Ati ibste,Isin ibstan,Inni ibse,Isheen ibste,Isaan ibsan
ilaalamu,ilaalam_,Ani ilaalame,Nuti ilaalamne,Ati ilaalamte,Isin ilaalamtan,Inni ilaalame,Isheen ilaalamte,Isaan ilaalaman
ilaalan,ilaal_,Ani ilaale,Nuti ilaalne,Ati ilaalte,Isin ilaaltan,Inni ilaale,Isheen ilaalte,Isaan ilaalan
irkatte,irkat_,Ani irkate,Nuti irkatne,Ati irkatte,Isin irkattan,Inni irkate,Isheen irkatte,Isaan irkatan
ittifamuu,ittifam_,Ani ittifame,Nuti ittifamne,Ati ittifamte,Isin ittifamtan,Inni ittifame,Isheen ittifamte,Isaan ittifaman
iyyuu,iyy_,Ani iyye,Nuti iyyne,Ati iyyte,Isin iyytan,Inni iyye,Isheen iyyte,Isaan iyyan
jaaramuun,jaaram_,Ani jaarame,Nuti jaaramne,Ati jaaramte,Isin jaaramtan,Inni jaarame,Isheen jaaramte,Isaan jaaraman
jaare,jaar_,Ani jaare,Nuti jaarne,Ati jaarte,Isin jaartan,Inni jaare,Isheen jaarte,Isaan jaaran
jaarratan,jaarrat_,Ani jaarrate,Nuti jaarratne,Ati jaarratte,Isin jaarrattan,Inni jaarrate,Isheen jaarratte,Isaan jaarratan
jallisuun,jallis_,Ani jallise,Nuti jallisne,Ati jalliste,Isin jallistan,Inni jallise,Isheen jalliste,Isaan jallisan
jechuu,jedh_,Ani jedhe,Nuti jedhne,Ati jedhte,Isin jedhtan,Inni jedhe,Isheen jedhte,Isaan jedhan
jechuun,jedh_,Ani jedhe,Nuti jedhne,Ati jedhte,Isin jedhtan,Inni jedhe,Isheen jedhte,Isaan jedhan
jedhamu,jedham_,Ani jedhame,Nuti jedhamne,Ati jedhamte,Isin jedhamtan,Inni jedhame,Isheen jedhamte,Isaan jedhaman
jedhan,jedh_,Ani jedhe,Nuti jedhne,Ati jedhte,Isin jedhtan,Inni jedhe,Isheen jedhte,Isaan jedhan
jedhu,jedh_,Ani jedhe,Nuti jedhne,Ati jedhte,Isin jedhtan,Inni jedhe,Isheen jedhte,Isaan jedhan
jedhutu,jedh_,Ani jedhe,Nuti jedhne,Ati jedhte,Isin jedhtan,Inni jedhe,Isheen jedhte,Isaan jedhan
jedhuu,jedh_,Ani jedhe,Nuti jedhne,Ati jedhte,Isin jedhtan,Inni jedhe,Isheen jedhte,Isaan jedhan
jennu,jen_,Ani jene,Nuti jenne,Ati jente,Isin jentan,Inni jene,Isheen jente,Isaan jenan
jette,jet_,Ani jete,Nuti jetne,Ati jette,Isin jettan,Inni jete,Isheen jette,Isaan jetan
jettu,jet_,Ani jete,Nuti jetne,Ati jette,Isin jettan,Inni jete,Isheen jette,Isaan jetan
jibbuu,jibb_,Ani jibbe,Nuti jibbne,Ati jibbte,Isin jibbtan,Inni jibbe,Isheen jibbte,Isaan jibban
jijjiiramu,jijjiiram_,Ani jijjiirame,Nuti jijjiiramne,Ati jijjiiramte,Isin jijjiiramtan,Inni jijjiirame,Isheen jijjiiramte,Isaan jijjiiraman
jijjiiruun,jijjiir_,Ani jijjiire,Nuti jijjiirne,Ati jijjiirte,Isin jijjiirtan,Inni jijjiire,Isheen jijjiirte,Isaan jijjiiran
jiraachuu,jiraat_,Ani jiraate,Nuti jiraatne,Ati jiraatte,Isin jiraattan,Inni jiraate,Isheen jiraatte,Isaan jiraatan
jiraachuun,jiraat_,Ani jiraate,Nuti jiraatne,Ati jiraatte,Isin jiraattan,Inni jiraate,Isheen jiraatte,Isaan jiraatan
jiraanne,jiraat_,Ani jiraate,Nuti jiraatne,Ati jiraatte,Isin jiraattan,Inni jiraate,Isheen jiraatte,Isaan jiraatan
jiraatan,jiraat_,Ani jiraate,Nuti jiraatne,Ati jiraatte,Isin jiraattan,Inni jiraate,Isheen jiraatte,Isaan jiraatan
jiraate,jiraat_,Ani jiraate,Nuti jiraatne,Ati jiraatte,Isin jiraattan,Inni jiraate,Isheen jiraatte,Isaan jiraatan
jiraatu,jiraat_,Ani jiraate,Nuti jiraatne,Ati jiraatte,Isin jiraattan,Inni jiraate,Isheen jiraatte,Isaan jiraatan
kaafaman,kaafam_,Ani kaafame,Nuti kaafamne,Ati kaafamte,Isin kaafamtan,Inni kaafame,Isheen kaafamte,Isaan kaafaman
kaafamuu,kaafam_,Ani kaafame,Nuti kaafamne,Ati kaafamte,Isin kaafamtan,Inni kaafame,Isheen kaafamte,Isaan kaafaman
kaanu,kaan_,Ani kaane,Nuti kaanne,Ati kaante,Isin kaantan,Inni kaane,Isheen kaante,Isaan kaanan
kaayamuu,kaayam_,Ani kaayame,Nuti kaayamne,Ati kaayamte,Isin kaayamtan,Inni kaayame,Isheen kaayamte,Isaan kaayaman
kaayamuun,kaayam_,Ani kaayame,Nuti kaayamne,Ati kaayamte,Isin kaayamtan,Inni kaayame,Isheen kaayamte,Isaan kaayaman
kaa'uun,kaa'_,Ani kaa'e,Nuti kaa'ne,Ati kaa'te,Isin kaa'tan,Inni kaa'e,Isheen kaa'te,Isaan kaa'an
kae,ka_,Ani kae,Nuti kane,Ati kate,Isin katan,Inni kae,Isheen kate,Isaan kaan
kahan,kah_,Ani kahe,Nuti kahne,Ati kahte,Isin kahtan,Inni kahe,Isheen kahte,Isaan kahan
kaluu,kal_,Ani kale,Nuti kalne,Ati kalte,Isin kaltan,Inni kale,Isheen kalte,Isaan kalan
katabe,katab_,Ani katabe,Nuti katabne,Ati katabte,Isin katabtan,Inni katabe,Isheen katabte,Isaan kataban
kauun,ka_,Ani kae,Nuti kane,Ati kate,Isin katan,Inni kae,Isheen kate,Isaan kaan
ka'e,ka'_,Ani ka'e,Nuti ka'ne,Ati ka'te,Isin ka'tan,Inni ka'e,Isheen ka'te,Isaan ka'an
kennan,kenn_,Ani kenne,Nuti kennne,Ati kennte,Isin kenntan,Inni kenne,Isheen kennte,Isaan kennan
kennu,ken_,Ani kene,Nuti kenne,Ati kente,Isin kentan,Inni kene,Isheen kente,Isaan kenan
kennuu,kenn_,Ani kenne,Nuti kennne,Ati kennte,Isin kenntan,Inni kenne,Isheen kennte,Isaan kennan
kutuu,ku_,Ani kue,Nuti kune,Ati kute,Isin kutan,Inni kue,Isheen kute,Isaan kuan
laaftuu,las_,Ani lase,Nuti lasne,Ati laste,Isin lastan,Inni lase,Isheen laste,Isaan lasan
laalamu,laalam_,Ani laalame,Nuti laalamne,Ati laalamte,Isin laalamtan,Inni laalame,Isheen laalamte,Isaan laalaman
laalan,laal_,Ani laale,Nuti laalne,Ati laalte,Isin laaltan,Inni laale,Isheen laalte,Isaan laalan
laallatu,laallat_,Ani laallate,Nuti laallatne,Ati laallatte,Isin laallattan,Inni laallate,Isheen laallatte,Isaan laallatan
laaluun,laal_,Ani laale,Nuti laalne,Ati laalte,Isin laaltan,Inni laale,Isheen laalte,Isaan laalan
laatame,laatam_,Ani laatame,Nuti laatamne,Ati laatamte,Isin laatamtan,Inni laatame,Isheen laatamte,Isaan laataman
labsuun,labs_,Ani labse,Nuti labsne,Ati labste,Isin labstan,Inni labse,Isheen labste,Isaan labsan
lieceste,lieces_,Ani liecese,Nuti liecesne,Ati lieceste,Isin liecestan,Inni liecese,Isheen lieceste,Isaan liecesan
lixu,lix_,Ani lixe,Nuti lixne,Ati lixte,Isin lixtan,Inni lixe,Isheen lixte,Isaan lixan
madaqfachuu,madaqfat_,Ani madaqfate,Nuti madaqfatne,Ati madaqfatte,Isin madaqfattan,Inni madaqfate,Isheen madaqfatte,Isaan madaqfatan
madde,madd_,Ani madde,Nuti maddne,Ati maddte,Isin maddtan,Inni madde,Isheen maddte,Isaan maddan
maddu,mad_,Ani made,Nuti madne,Ati madte,Isin madtan,Inni made,Isheen madte,Isaan madan
makamuu,makam_,Ani makame,Nuti makamne,Ati makamte,Isin makamtan,Inni makame,Isheen makamte,Isaan makaman
makamuun,makam_,Ani makame,Nuti makamne,Ati makamte,Isin makamtan,Inni makame,Isheen makamte,Isaan makaman
maku,mak_,Ani make,Nuti makne,Ati makte,Isin maktan,Inni make,Isheen makte,Isaan makan
makuu,mak_,Ani make,Nuti makne,Ati makte,Isin maktan,Inni make,Isheen makte,Isaan makan
makuun,mak_,Ani make,Nuti makne,Ati makte,Isin maktan,Inni make,Isheen makte,Isaan makan
malu,mal_,Ani male,Nuti malne,Ati malte,Isin maltan,Inni male,Isheen malte,Isaan malan
maqsan,maqs_,Ani maqse,Nuti maqsne,Ati maqste,Isin maqstan,Inni maqse,Isheen maqste,Isaan maqsan
maqsuun,maqs_,Ani maqse,Nuti maqsne,Ati maqste,Isin maqstan,Inni maqse,Isheen maqste,Isaan maqsan
miidhamu,miidham_,Ani miidhame,Nuti miidhamne,Ati miidhamte,Isin miidhamtan,Inni miidhame,Isheen miidhamte,Isaan miidhaman
mijeessuu,mijeess_,Ani mijeesse,Nuti mijeessne,Ati mijeesste,Isin mijeesstan,Inni mijeesse,Isheen mijeesste,Isaan mijeessan
milkoofte,milkoof_,Ani milkoofe,Nuti milkoofne,Ati milkoofte,Isin milkooftan,Inni milkoofe,Isheen milkoofte,Isaan milkoofan
moggaase,moggaas_,Ani moggaase,Nuti moggaasne,Ati moggaaste,Isin moggaastan,Inni moggaase,Isheen moggaaste,Isaan moggaasan
mormitu,mormit_,Ani mormite,Nuti mormitne,Ati mormitte,Isin mormittan,Inni mormite,Isheen mormitte,Isaan mormitan
mormuun,morm_,Ani morme,Nuti mormne,Ati mormte,Isin mormtan,Inni morme,Isheen mormte,Isaan morman
mudate,mudat_,Ani mudate,Nuti mudatne,Ati mudatte,Isin mudattan,Inni mudate,Isheen mudatte,Isaan mudatan
muldhachuu,muldhat_,Ani muldhate,Nuti muldhatne,Ati muldhatte,Isin muldhattan,Inni muldhate,Isheen muldhatte,Isaan muldhatan
muldhatu,muldhat_,Ani muldhate,Nuti muldhatne,Ati muldhatte,Isin muldhattan,Inni muldhate,Isheen muldhatte,Isaan muldhatan
murteessuun,murteess_,Ani murteesse,Nuti murteessne,Ati murteesste,Isin murteesstan,Inni murteesse,Isheen murteesste,Isaan murteessan
muudamu,muudam_,Ani muudame,Nuti muudamne,Ati muudamte,Isin muudamtan,Inni muudame,Isheen muudamte,Isaan muudaman
muudamuu,muudam_,Ani muudame,Nuti muudamne,Ati muudamte,Isin muudamtan,Inni muudame,Isheen muudamte,Isaan muudaman
muudu,muud_,Ani muude,Nuti muudne,Ati muudte,Isin muudtan,Inni muude,Isheen muudte,Isaan muudan
naqachuun,naqat_,Ani naqate,Nuti naqatne,Ati naqatte,Isin naqattan,Inni naqate,Isheen naqatte,Isaan naqatan
nyaachisan,nyaachis_,Ani nyaachise,Nuti nyaachisne,Ati nyaachiste,Isin nyaachistan,Inni nyaachise,Isheen nyaachiste,Isaan nyaachisan
oolchuun,oolch_,Ani oolche,Nuti oolchne,Ati oolchte,Isin oolchtan,Inni oolche,Isheen oolchte,Isaan oolchan
oolfachuu,oolfat_,Ani oolfate,Nuti oolfatne,Ati oolfatte,Isin oolfattan,Inni oolfate,Isheen oolfatte,Isaan oolfatan
oolu,ool_,Ani oole,Nuti oolne,Ati oolte,Isin ooltan,Inni oole,Isheen oolte,Isaan oolan
oomishuu,oomish_,Ani oomishe,Nuti oomishne,Ati oomishte,Isin oomishtan,Inni oomishe,Isheen oomishte,Isaan oomishan
qabaachuu,qabaat_,Ani qabaate,Nuti qabaatne,Ati qabaatte,Isin qabaattan,Inni qabaate,Isheen qabaatte,Isaan qabaatan
qabaachuun,qabaat_,Ani qabaate,Nuti qabaatne,Ati qabaatte,Isin qabaattan,Inni qabaate,Isheen qabaatte,Isaan qabaatan
qabaatu,qabaat_,Ani qabaate,Nuti qabaatne,Ati qabaatte,Isin qabaattan,Inni qabaate,Isheen qabaatte,Isaan qabaatan
qabaman,qabam_,Ani qabame,Nuti qabamne,Ati qabamte,Isin qabamtan,Inni qabame,Isheen qabamte,Isaan qabaman
qaban,qab_,Ani qabe,Nuti qabne,Ati qabte,Isin qabtan,Inni qabe,Isheen qabte,Isaan qaban
qabate,qabat_,Ani qabate,Nuti qabatne,Ati qabatte,Isin qabattan,Inni qabate,Isheen qabatte,Isaan qabatan
qabatte,qabat_,Ani qabate,Nuti qabatne,Ati qabatte,Isin qabattan,Inni qabate,Isheen qabatte,Isaan qabatan
qabe,qab_,Ani qabe,Nuti qabne,Ati qabte,Isin qabtan,Inni qabe,Isheen qabte,Isaan qaban
qabnu,qab_,Ani qabe,Nuti qabne,Ati qabte,Isin qabtan,Inni qabe,Isheen qabte,Isaan qaban
qabsiisuu,qabsiis_,Ani qabsiise,Nuti qabsiisne,Ati qabsiiste,Isin qabsiistan,Inni qabsiise,Isheen qabsiiste,Isaan qabsiisan
qalbifannu,qalbifat_,Ani qalbifate,Nuti qalbifatne,Ati qalbifatte,Isin qalbifattan,Inni qalbifate,Isheen qalbifatte,Isaan qalbifatan
qananeeffamuu,qananeeffam_,Ani qananeeffame,Nuti qananeeffamne,Ati qananeeffamte,Isin qananeeffamtan,Inni qananeeffame,Isheen qananeeffamte,Isaan qananeeffaman
qaqqabe,qaqqab_,Ani qaqqabe,Nuti qaqqabne,Ati qaqqabte,Isin qaqqabtan,Inni qaqqabe,Isheen qaqqabte,Isaan qaqqaban
qarachuu,qarat_,Ani qarate,Nuti qaratne,Ati qaratte,Isin qarattan,Inni qarate,Isheen qaratte,Isaan qaratan
qaran,qar_,Ani qare,Nuti qarne,Ati qarte,Isin qartan,Inni qare,Isheen qarte,Isaan qaran
qarooman,qaroom_,Ani qaroome,Nuti qaroomne,Ati qaroomte,Isin qaroomtan,Inni qaroome,Isheen qaroomte,Isaan qarooman
qbaachuu,qbaat_,Ani qbaate,Nuti qbaatne,Ati qbaatte,Isin qbaattan,Inni qbaate,Isheen qbaatte,Isaan qbaatan
qorachuun,qorat_,Ani qorate,Nuti qoratne,Ati qoratte,Isin qorattan,Inni qorate,Isheen qoratte,Isaan qoratan
raabsan,raabs_,Ani raabse,Nuti raabsne,Ati raabste,Isin raabstan,Inni raabse,Isheen raabste,Isaan raabsan
raabsu,raabs_,Ani raabse,Nuti raabsne,Ati raabste,Isin raabstan,Inni raabse,Isheen raabste,Isaan raabsan
raagan,raag_,Ani raage,Nuti raagne,Ati raagte,Isin raagtan,Inni raage,Isheen raagte,Isaan raagan
raasuu,raas_,Ani raase,Nuti raasne,Ati raaste,Isin raastan,Inni raase,Isheen raaste,Isaan raasan
raawachiiftuu,raawachis_,Ani raawachise,Nuti raawachisne,Ati raawachiste,Isin raawachistan,Inni raawachise,Isheen raawachiste,Isaan raawachisan
raawachiiftuun,raawachiis_,Ani raawachiise,Nuti raawachiisne,Ati raawachiiste,Isin raawachiistan,Inni raawachiise,Isheen raawachiiste,Isaan raawachiisan
sarbu,sarb_,Ani sarbe,Nuti sarbne,Ati sarbte,Isin sarbtan,Inni sarbe,Isheen sarbte,Isaan sarban
sarbuu,sarb_,Ani sarbe,Nuti sarbne,Ati sarbte,Isin sarbtan,Inni sarbe,Isheen sarbte,Isaan sarban
seenamne,seenam_,Ani seename,Nuti seenamne,Ati seenamte,Isin seenamtan,Inni seename,Isheen seenamte,Isaan seenaman
seenamu,seenam_,Ani seename,Nuti seenamne,Ati seenamte,Isin seenamtan,Inni seename,Isheen seenamte,Isaan seenaman
seenan,seen_,Ani seene,Nuti seenne,Ati seente,Isin seentan,Inni seene,Isheen seente,Isaan seenan
seene,see_,Ani seee,Nuti seene,Ati seete,Isin seetan,Inni seee,Isheen seete,Isaan seean
seenu,seen_,Ani seene,Nuti seenne,Ati seente,Isin seentan,Inni seene,Isheen seente,Isaan seenan
seeran,seer_,Ani seere,Nuti seerne,Ati seerte,Isin seertan,Inni seere,Isheen seerte,Isaan seeran
shakalsiisu,shakalsiis_,Ani shakalsiise,Nuti shakalsiisne,Ati shakalsiiste,Isin shakalsiistan,Inni shakalsiise,Isheen shakalsiiste,Isaan shakalsiisan
shakkine,shakki_,Ani shakkie,Nuti shakkine,Ati shakkite,Isin shakkitan,Inni shakkie,Isheen shakkite,Isaan shakkian
taasifamuu,taasifam_,Ani taasifame,Nuti taasifamne,Ati taasifamte,Isin taasifamtan,Inni taasifame,Isheen taasifamte,Isaan taasifaman
taasise,taasis_,Ani taasise,Nuti taasisne,Ati taasiste,Isin taasistan,Inni taasise,Isheen taasiste,Isaan taasisan
tae,ta_,Ani tae,Nuti tane,Ati tate,Isin tatan,Inni tae,Isheen tate,Isaan taan
tahe,tah_,Ani tahe,Nuti tahne,Ati tahte,Isin tahtan,Inni tahe,Isheen tahte,Isaan tahan
tahu,tah_,Ani tahe,Nuti tahne,Ati tahte,Isin tahtan,Inni tahe,Isheen tahte,Isaan tahan
tahuu,tah_,Ani tahe,Nuti tahne,Ati tahte,Isin tahtan,Inni tahe,Isheen tahte,Isaan tahan
tahuun,tah_,Ani tahe,Nuti tahne,Ati tahte,Isin tahtan,Inni tahe,Isheen tahte,Isaan tahan
tajaajiluu,tajaajil_,Ani tajaajile,Nuti tajaajilne,Ati tajaajilte,Isin tajaajiltan,Inni tajaajile,Isheen tajaajilte,Isaan tajaajilan
taphate,taphat_,Ani taphate,Nuti taphatne,Ati taphatte,Isin taphattan,Inni taphate,Isheen taphatte,Isaan taphatan
taphatte,taphat_,Ani taphate,Nuti taphatne,Ati taphatte,Isin taphattan,Inni taphate,Isheen taphatte,Isaan taphatan
tarkaanfachuu,tarkaanfat_,Ani tarkaanfate,Nuti tarkaanfatne,Ati tarkaanfatte,Isin tarkaanfattan,Inni tarkaanfate,Isheen tarkaanfatte,Isaan tarkaanfatan
tarreesse,tarreess_,Ani tarreesse,Nuti tarreessne,Ati tarreesste,Isin tarreesstan,Inni tarreesse,Isheen tarreesste,Isaan tarreessan
tau,ta_,Ani tae,Nuti tane,Ati tate,Isin tatan,Inni tae,Isheen tate,Isaan taan
tauu,ta_,Ani tae,Nuti tane,Ati tate,Isin tatan,Inni tae,Isheen tate,Isaan taan
tauun,ta_,Ani tae,Nuti tane,Ati tate,Isin tatan,Inni tae,Isheen tate,Isaan taan
ta'e,ta'_,Ani ta'e,Nuti ta'ne,Ati ta'te,Isin ta'tan,Inni ta'e,Isheen ta'te,Isaan ta'an
ta'u,ta'_,Ani ta'e,Nuti ta'ne,Ati ta'te,Isin ta'tan,Inni ta'e,Isheen ta'te,Isaan ta'an
ta'uu,ta'_,Ani ta'e,Nuti ta'ne,Ati ta'te,Isin ta'tan,Inni ta'e,Isheen ta'te,Isaan ta'an
ta'uun,ta'_,Ani ta'e,Nuti ta'ne,Ati ta'te,Isin ta'tan,Inni ta'e,Isheen ta'te,Isaan ta'an
tilmaamamu,tilmaamam_,Ani tilmaamame,Nuti tilmaamamne,Ati tilmaamamte,Isin tilmaamamtan,Inni tilmaamame,Isheen tilmaamamte,Isaan tilmaamaman
tolche,tolch_,Ani tolche,Nuti tolchne,Ati tolchte,Isin tolchtan,Inni tolche,Isheen tolchte,Isaan tolchan
tolfamu,tolfam_,Ani tolfame,Nuti tolfamne,Ati tolfamte,Isin tolfamtan,Inni tolfame,Isheen tolfamte,Isaan tolfaman
tolfatan,tolfat_,Ani tolfate,Nuti tolfatne,Ati tolfatte,Isin tolfattan,Inni tolfate,Isheen tolfatte,Isaan tolfatan
tolu,tol_,Ani tole,Nuti tolne,Ati tolte,Isin toltan,Inni tole,Isheen tolte,Isaan tolan
too'atamu,too'atam_,Ani too'atame,Nuti too'atamne,Ati too'atamte,Isin too'atamtan,Inni too'atame,Isheen too'atamte,Isaan too'ataman
tumamuu,tumam_,Ani tumame,Nuti tumamne,Ati tumamte,Isin tumamtan,Inni tumame,Isheen tumamte,Isaan tumaman
tumsuu,tums_,Ani tumse,Nuti tumsne,Ati tumste,Isin tumstan,Inni tumse,Isheen tumste,Isaan tumsan
tuqaman,tuqam_,Ani tuqame,Nuti tuqamne,Ati tuqamte,Isin tuqamtan,Inni tuqame,Isheen tuqamte,Isaan tuqaman
tuqne,tuq_,Ani tuqe,Nuti tuqne,Ati tuqte,Isin tuqtan,Inni tuqe,Isheen tuqte,Isaan tuqan
turan,tur_,Ani ture,Nuti turne,Ati turte,Isin turtan,Inni ture,Isheen turte,Isaan turan
turre,tur_,Ani ture,Nuti turne,Ati turte,Isin turtan,Inni ture,Isheen turte,Isaan turan
turte,tur_,Ani ture,Nuti turne,Ati turte,Isin turtan,Inni ture,Isheen turte,Isaan turan
turuun,tur_,Ani ture,Nuti turne,Ati turte,Isin turtan,Inni ture,Isheen turte,Isaan turan
uffanne,uffat_,Ani uffate,Nuti uffatne,Ati uffatte,Isin uffattan,Inni uffate,Isheen uffatte,Isaan uffatan
ukkaamfamuu,ukkaamfam_,Ani ukkaamfame,Nuti ukkaamfamne,Ati ukkaamfamte,Isin ukkaamfamtan,Inni ukkaamfame,Isheen ukkaamfamte,Isaan ukkaamfaman
ukkaamsuu,ukkaams_,Ani ukkaamse,Nuti ukkaamsne,Ati ukkaamste,Isin ukkaamstan,Inni ukkaamse,Isheen ukkaamste,Isaan ukkaamsan
uumame,uumam_,Ani uumame,Nuti uumamne,Ati uumamte,Isin uumamtan,Inni uumame,Isheen uumamte,Isaan uumaman
uumamte,uumam_,Ani uumame,Nuti uumamne,Ati uumamte,Isin uumamtan,Inni uumame,Isheen uumamte,Isaan uumaman
uumamu,uumam_,Ani uumame,Nuti uumamne,Ati uumamte,Isin uumamtan,Inni uumame,Isheen uumamte,Isaan uumaman
uumamuu,uumam_,Ani uumame,Nuti uumamne,Ati uumamte,Isin uumamtan,Inni uumame,Isheen uumamte,Isaan uumaman
uumamuun,uumam_,Ani uumame,Nuti uumamne,Ati uumamte,Isin uumamtan,Inni uumame,Isheen uumamte,Isaan uumaman
uumuu,uum_,Ani uume,Nuti uumne,Ati uumte,Isin uumtan,Inni uume,Isheen uumte,Isaan uuman
waamamuun,waamam_,Ani waamame,Nuti waamamne,Ati waamamte,Isin waamamtan,Inni waamame,Isheen waamamte,Isaan waamaman
waldanda'an,waldanda'_,Ani waldanda'e,Nuti waldanda'ne,Ati waldanda'te,Isin waldanda'tan,Inni waldanda'e,Isheen waldanda'te,Isaan waldanda'an
waldanda'uun,waldanda'_,Ani waldanda'e,Nuti waldanda'ne,Ati waldanda'te,Isin waldanda'tan,Inni waldanda'e,Isheen waldanda'te,Isaan waldanda'an
waldhaalchise,waldhaalchis_,Ani waldhaalchise,Nuti waldhaalchisne,Ati waldhaalchiste,Isin waldhaalchistan,Inni waldhaalchise,Isheen waldhaalchiste,Isaan waldhaalchisan
walfooyuu,walfooy_,Ani walfooye,Nuti walfooyne,Ati walfooyte,Isin walfooytan,Inni walfooye,Isheen walfooyte,Isaan walfooyan
wallaaluu,wallaal_,Ani wallaale,Nuti wallaalne,Ati wallaalte,Isin wallaaltan,Inni wallaale,Isheen wallaalte,Isaan wallaalan
walmakuu,walmak_,Ani walmake,Nuti walmakne,Ati walmakte,Isin walmaktan,Inni walmake,Isheen walmakte,Isaan walmakan
